department  related to  name                           license period  material / not material  license type  link                                                                  comment
Rythan     client       gulp-flatten                   perpetual       material                 MIT           git://github.com/armed/gulp-flatten.git                               0.2.0
Rythan     client       gulp-htmlmin                   perpetual       material                 MIT           git+https://github.com/jonschlinkert/gulp-htmlmin.git                 1.3.0
Rythan     client       gulp-inject                    perpetual       material                 MIT           git+https://github.com/klei/gulp-inject.git                           4.3.0
Rythan     client       gulp-load-plugins              perpetual       material                 MIT           https://github.com/jackfranklin/gulp-load-plugins                     0.10.0
Rythan     client       gulp-ng-annotate               perpetual       material                 CC0-1.0       git+https://github.com/Kagami/gulp-ng-annotate.git                    1.1.0
Rythan     client       gulp-ng-config                 perpetual       material                 MIT           git+https://github.com/ajwhite/gulp-ng-config.git                     1.5.1
Rythan     client       gulp-preprocess                perpetual       material                 MIT           git+ssh://git@github.com/pioug/gulp-preprocess.git                    3.0.3
Rythan     client       gulp-protractor                perpetual       material                 MIT           git://github.com/mllrsohn/gulp-protractor.git                         1.0.0
Rythan     client       gulp-replace                   perpetual       material                 MIT           git://github.com/lazd/gulp-replace.git                                0.5.4
Rythan     client       gulp-rev                       perpetual       material                 MIT           git+https://github.com/sindresorhus/gulp-rev.git                      6.0.1
Rythan     client       gulp-rev-replace               perpetual       material                 MIT           git+https://github.com/jamesknelson/gulp-rev-replace.git              0.4.4
Rythan     client       gulp-sass                      perpetual       material                 MIT           git://github.com/dlmanning/gulp-sass.git                              3.1.0
Rythan     client       gulp-size                      perpetual       material                 MIT           https://github.com/sindresorhus/gulp-size                             2.0.0
Rythan     client       gulp-sourcemaps                perpetual       material                 ISC           git://github.com/floridoo/gulp-sourcemaps.git                         1.6.0
Rythan     client       gulp-uglify                    perpetual       material                 MIT           git+https://github.com/terinjokes/gulp-uglify.git                     1.4.2
Rythan     client       gulp-useref                    perpetual       material                 MIT           git+https://github.com/jonkemp/gulp-useref.git                        3.1.6
Rythan     client       gulp-util                      perpetual       material                 MIT           git+https://github.com/gulpjs/gulp-util.git                           3.0.8
Rythan     client       http-proxy-middleware          perpetual       material                 MIT           git+https://github.com/chimurai/http-proxy-middleware.git             0.9.1
Rythan     client       jasmine-core                   perpetual       material                 MIT           git+https://github.com/jasmine/jasmine.git                            2.99.1
Rythan     client       jspm                           perpetual       material                 Apache-2.0    git+https://github.com/jspm/jspm.git                                  0.16.55
Rythan     client       karma                          perpetual       material                 MIT           git://github.com/karma-runner/karma.git                               0.13.22
Rythan     client       karma-angular-filesort         perpetual       material                 MIT           https://github.com/wilsonjackson/karma-angular-filesort.git           1.0.2
Rythan     client       karma-coverage                 perpetual       material                 MIT           git://github.com/karma-runner/karma-coverage.git                      0.5.5
Rythan     client       karma-jasmine                  perpetual       material                 MIT           git://github.com/karma-runner/karma-jasmine.git                       0.3.8
Rythan     client       karma-ng-html2js-preprocessor  perpetual       material                 MIT           git://github.com/karma-runner/karma-ng-html2js-preprocessor.git       0.2.2
Rythan     client       karma-phantomjs-launcher       perpetual       material                 MIT           git://github.com/karma-runner/karma-phantomjs-launcher.git            1.0.4
Rythan     client       lodash                         perpetual       material                 MIT           git+https://github.com/lodash/lodash.git                              3.10.1
Rythan     client       main-bower-files               perpetual       material                 MIT           git://github.com/ck86/main-bower-files.git                            2.9.0
Rythan     client       merge-stream                   perpetual       material                 MIT           git+https://github.com/grncdr/merge-stream.git                        1.0.1
Rythan     client       phantomjs                      perpetual       material                 Apache-2.0    git://github.com/Medium/phantomjs.git                                 1.9.20
Rythan     client       phantomjs-prebuilt             perpetual       material                 Apache-2.0    git://github.com/Medium/phantomjs.git                                 2.1.16
Rythan     client       uglify-save-license            perpetual       material                 MIT           https://github.com/shinnn/uglify-save-license.git                     0.4.1
Rythan     client       wiredep                        perpetual       material                 MIT           https://github.com/taptapship/wiredep                                 2.2.2
Rythan     client       wrench                         perpetual       material                 MIT           git+https://ryanmcgrath@github.com/ryanmcgrath/wrench-js.git          1.5.9
